Company,Industry,Review Title,Review Text,Rating,Date
DoorDash,Food Delivery,So I ordered a pizza at my place of…,"So I ordered a pizza at my place of employment. I came out the meeting when they said they were here but didn’t come up to the 5th floor, so I went back and forth to my meeting and the 5th floor elevator, nobody showed. So he then text me he was here, got to the elevator and he or she not there neither is my pizza. So I called the driver and he said DoorDash told him to leave my pizza on the floor by the elevator doors. This makes no sense because there are glass doors on both sides with a receptionist. So tell me how do the say this was delivered to me. I refuse to use any of these apps anymore, they are actively stealing your order which in case they stealing your money. I have been a customer for years but I no longer will order and neither is my family. I would suggest no one use them because they are finding ways to take your hard earn money, it’s bad enough how much they charge us for delivery.",1,2026-08-10T20:31:52.000Z
DoorDash,Food Delivery,"Horrible customer service, withholding funds","They took my money and cancelled the order when the driver was supposed to be collecting it, withholding my money for 5 days and no form of compensation. No human customer service only bots, avoid this disgusting excuse for an app.",1,2026-08-10T13:39:12.000Z
DoorDash,Food Delivery,Ordered some kettle de scaler and they…,"Ordered some kettle de scaler and they delivered oven cleaner instead, then sent me an email saying the claim to change it was denied!
Was my first ever purchase for delivery like this and will be my last.",1,2026-08-10T06:15:05.000Z
DoorDash,Food Delivery,Door dash appears to be a huge scamming…,"Door dash appears to be a huge scamming company and I plan to expose them. Several of my orders have been stolen! Tonight my food was delivered to the wrong address. I messaged the dasher but no reply he claimed at first that he didn’t know which house when my light is on and I’m in my door and the address is clear as day on my home! I contacted Doordash and they rudely said there’s nothing we can do about this and end the chat on me! I feel that they have been doing this to me lately because I have reported them to the Better Business Bureau. I’ve noticed that I’ve been getting unfair treatment since then. I want my money back. I’m sick of this for Easter. I placed the order four times for my children’s Easter things I spent a lot of money and four different dashes stole each order and canceled after checkout! Doordash has become a huge rip off Company and I’m sick of it! I’ve ordered food with no tomatoes no lettuce, but have gotten food with lettuce and tomatoes. I reported it to Doordash with screen, record, recording, and screenshots of the Food and screenshots of the specifics of no lettuce, no tomatoes and they have refused my refund. Also, I was overcharged a few days ago. I uploaded screenshots to chat support and was told that my money would be refunded however, my money was not refunded and they completed the transaction! I was told that I would be refunded and receive a seven dollar credit that’s to be used in 24 hours. I immediately checked once I was told this and did not see the seven dollar credit nor the refund. I immediately contacted Doordash, and they completely ignored me saying we see it on our end. I sent screenshots immediately showing it was not there several times even until the next morning at 4 AM and they treated me like crap and refuse to fix the issue. This company should be banned by the Better Business Bureau Dasher should be made to use LEGIT phone numbers. I’ve had Dashers show up that the profile don’t even belong to men showing up when it’s supposed to be Women smelling like weed and alcohol. I’ve complained to Doordash and they still sent the same dashes to me over and over. I’m sick of this.",1,2026-08-10T05:07:11.000Z
DoorDash,Food Delivery,DoorDash Support Is an Absolute Disaster,"DoorDash delivered one of the worst support experiences I’ve ever dealt with. I’ve still got a headache from trying to imagine how a company can be THIS bad. I spent 48 hours trying to fix a simple issue adding a payment card, and every single agent — about 10 of them over two days, including a supervisor — gave me a different story. “Under review,” “escalated,” “waiting for payments team,” “24 hours,” and my personal favorite: “Do these troubleshooting steps,” which basically tells me they think I made the mistake. The problem is I did ALL the troubleshooting steps at least six times. Every explanation they gave me was wrong.

After two full days of wasted time, I finally got the real answer: DoorDash does not accept KOHO cards. A basic policy fact that could have been communicated instantly by simply checking the list of accepted payment methods.

Instead, I was dragged through a pointless cycle of scripted apologies, fake escalations, and agents who clearly had no idea what the actual policy was. No one checked anything. No one gave a straight answer. They just repeated the same empty lines over and over.

The supervisor claimed to be “consulting with my team,” yet still couldn’t provide the correct information. That tells me the training is poor, the communication is worse, and the support system is basically theatre — lots of talking, zero action.

And after finally telling me the truth, they had the nerve to ask me to complete a survey. After two days of misinformation and wasted time… unbelievable. A simple answer turned into a 48‑hour mess because no one knew the policy. My advice: don’t use this company EVER.",1,2026-08-10T02:48:51.000Z
DoorDash,Food Delivery,Horrible service,Horrible service. Dasher/Driver never showed up and DoorDash takes no responsibility for this and charges the customer anyway. Disputing charges. Horrible customer experience.,1,2026-08-10T02:31:18.000Z
DoorDash,Food Delivery,I was at hospital on tyler texas 703…,I was at hospital on tyler texas 703 south fleshiel Ave Tyler TX heart hospital I ordered from door dash they picked it up and they say they delivered it they did no we were at desk they took a picture of a corner of hospital no food in it I asked did anybody recognize the place they say they left it they would not refund my 45.00 don't use these dam crooks us Uber eats much better fxxxthem will never do business with them again Larry Veal milam TX,1,2026-08-10T01:02:14.000Z
DoorDash,Food Delivery,DOORDASH HAS THIEFS DRIVING FOR THEM !!!!!!,"I PLACED AN ORDER FROM A COSMETIC STORE. THE DOORDASH DRIVER PICKED IT UP FROM THE STORE BUT NEVER DELIVERED IT TO ME, AND DID NOT RETURN IT TO THE STORE. DOORDASH HAS THIEFS DRIVING FOR THEM !!!!!!",1,2026-08-09T21:57:56.000Z
DoorDash,Food Delivery,Very disappointed,Very disappointed. Delivery delayed due to no local delivery personnel.,1,2026-08-09T18:46:10.000Z
DoorDash,Food Delivery,New customer no more…,"New customer to doordash had 3 orders total. First 2 were great experiences. I even left a great review for each order and the driver.

Last night I was feeling snackish and I ordered some cookies and cheesecakes from 7-11. The driver arrived in a timely manner and asked me if 7-11 had contacted me to which I replied no. He told me they did not have any cheesecake in stock so there is none in the bag. He asked I sort that out with Doordash for a refund but to let them know it was the store not the driver.

I then escalated the issue through the app. There was no option to take a photo. I reported the missing cheesecakes and it went under review. I then after that discovered they also sent me the wrong cookies as well but couldn't report that because they were already reviewing that.

I wake up this morning to find out my refund was denied.

I called customer service ans was denied a refund again after explaining everything above.

I let the lady on the phone know she ws very pleasant but seems to me that doordash has some really poor procedures and policies and I would no longer be a doordash customer after this.

So I just paid $25 for $12 worth of cookies. Such BS",1,2026-08-09T15:55:35.000Z
DoorDash,Food Delivery,They don’t refund items that were never…,They don’t refund items that were never delivered.,1,2026-08-09T15:12:40.000Z
DoorDash,Food Delivery,Horrible issue resolution and penalizes customers.,"Of recent the accuracy is poor ie every time I order meat from the grocery story they charge me for more lbs than purchased. The first time they refunded the price of the meat (excessive-I only needed the difference) and going forward no matter what’s wrong they can’t help. The meat was $9. Smh. I’ve paid for more things that I did receive, and charged once more for more meat than I received. SMH. No thank you. Best of luck.",2,2026-08-09T06:14:49.000Z
